policy_id,policy_name,category,start_date,end_date,admin,notes,source
ADMIN_OBAMA,Administration: Barack Obama,administration,2015-01-01,2017-01-19,Obama,Covers project window start through end of Obama term (inauguration transition).,https://www.whitehouse.gov/
ADMIN_TRUMP_1,Administration: Donald Trump (1st term),administration,2017-01-20,2021-01-19,Trump,First Trump administration term.,https://www.whitehouse.gov/
ADMIN_BIDEN,Administration: Joe Biden,administration,2021-01-20,2025-01-19,Biden,"Biden administration term (through Jan 19, 2025).",https://www.whitehouse.gov/
ADMIN_TRUMP_2,Administration: Donald Trump (2nd term),administration,2025-01-20,2025-12-31,Trump,Second Trump administration period within the project window.,https://www.whitehouse.gov/
NE_BORDER_2019,National Emergency Concerning the Southern Border (Proclamation 9844),national_emergency,2019-02-15,2021-02-11,Trump/Biden,"Declared Feb 15, 2019; ended by Biden (ended Feb 11, 2021 per reporting).",https://time.com/5938570/border-emergency-military/
PHE_COVID,COVID-19 Public Health Emergency (HHS),public_health_emergency,2020-01-31,2023-05-11,Trump/Biden,"Federal COVID-19 PHE declared Jan 31, 2020; expired May 11, 2023.",https://www.hhs.gov/coronavirus/covid-19-public-health-emergency/index.html
TITLE42_MAIN,Title 42 border expulsions regime (CDC orders under 42 U.S.C. 265),border_enforcement_public_health,2020-03-20,2023-05-11,Trump/Biden,"Initial CDC order issued March 20, 2020; Title 42 ended May 11, 2023 alongside PHE expiration.",https://www.cdc.gov/port-health/legal-authorities/archived-orders.html
TITLE42_ATTEMPT_END_2022,CDC announced planned termination of Title 42 (later blocked),border_enforcement_public_health,2022-04-01,2022-05-23,Biden,"CDC released determination/order to terminate Title 42 on May 23, 2022; implementation was blocked by litigation.",https://www.dhs.gov/archive/news/2022/04/01/statement-secretary-mayorkas-cdcs-title-42-order-termination
TITLE42_UAC_EXEMPT_2021,Title 42 order updated to exempt unaccompanied children (UAC) (event marker),border_enforcement_public_health,2021-08-02,2023-05-11,Biden,CDC replaced an October 2020 order with a new order continuing Title 42 while exempting unaccompanied children (UAC) per secondary summaries.,https://www.americanimmigrationcouncil.org/fact-sheet/guide-title-42-expulsions-border/
CLP_RULE_2023,Circumvention of Lawful Pathways (CLP) Final Rule (asylum processing),asylum_processing,2023-05-11,2025-05-11,Biden,"Final rule effective May 11, 2023; some summaries describe applicability through May 11, 2025.",https://www.federalregister.gov/documents/2023/05/16/2023-10146/circumvention-of-lawful-pathways
MPP_1,Migrant Protection Protocols (MPP 1.0 / 'Remain in Mexico'),asylum_processing,2019-01-01,2021-01-20,Trump/Biden,Went into effect in January 2019; suspended after Biden took office.,https://www.americanimmigrationcouncil.org/fact-sheet/migrant-protection-protocols/
MPP_2,Migrant Protection Protocols reinstatement (MPP 2.0) (returns to Mexico),asylum_processing,2021-12-01,2022-10-31,Biden,Returned people to Mexico from Dec 2021 to Aug 2022; program formally ended again in Oct 2022.,https://www.americanimmigrationcouncil.org/fact-sheet/migrant-protection-protocols/
MPP_3_2025,Migrant Protection Protocols reimplemented (2025) (event marker),asylum_processing,2025-01-21,2025-12-31,Trump,DHS announced MPP would be put back into effect in 2025 (details may evolve).,https://www.dhs.gov/news/2025/01/21/dhs-reinstates-migrant-protection-protocols
MAYORKAS_PRIORITIES_2021,"DHS immigration enforcement priorities (Mayorkas guidelines effective Nov 29, 2021)",removal_priorities,2021-11-29,2025-12-31,Biden,"Guidelines announced Sep 30, 2021; became effective Nov 29, 2021.",https://www.dhs.gov/archive/news/2021/09/30/secretary-mayorkas-announces-new-immigration-enforcement-priorities
